false_positive_rate,true_positive_rate,partition,feature_set
0.025815536,0.270527226,train,full features
0.02628491,0.270527226,train,full features
0.02628491,0.272687986,train,full features
0.026519596,0.272687986,train,full features
0.026519596,0.273120138,train,full features
0.026754283,0.273120138,train,full features
0.026754283,0.27355229,train,full features
0.02698897,0.27355229,train,full features
0.02698897,0.274416595,train,full features
0.027458343,0.274416595,train,full features
0.027458343,0.275713051,train,full features
0.02769303,0.275713051,train,full features
0.02769303,0.276577355,train,full features
0.027927716,0.276577355,train,full features
0.027927716,0.277441659,train,full features
0.028162403,0.277441659,train,full features
0.028162403,0.278738116,train,full features
0.02839709,0.278738116,train,full features
0.02839709,0.279170268,train,full features
0.028631777,0.279170268,train,full features
0.028631777,0.280466724,train,full features
0.028866463,0.280466724,train,full features
0.028866463,0.280898876,train,full features
0.02910115,0.280898876,train,full features
0.02910115,0.281331029,train,full features
0.029335837,0.281331029,train,full features
0.029335837,0.283059637,train,full features
0.029570523,0.283059637,train,full features
0.029570523,0.283491789,train,full features
0.02980521,0.283491789,train,full features
0.02980521,0.283923941,train,full features
0.030039897,0.283923941,train,full features
0.030039897,0.286949006,train,full features
0.030274583,0.286949006,train,full features
0.030274583,0.289541919,train,full features
0.03050927,0.289541919,train,full features
0.03050927,0.290838375,train,full features
0.030743957,0.290838375,train,full features
0.030743957,0.292566984,train,full features
0.030978644,0.292566984,train,full features
0.030978644,0.295592048,train,full features
0.03121333,0.295592048,train,full features
0.03121333,0.30207433,train,full features
0.031448017,0.30207433,train,full features
0.031448017,0.303802939,train,full features
0.031682704,0.303802939,train,full features
0.031682704,0.304235091,train,full features
0.03191739,0.304235091,train,full features
0.03191739,0.305099395,train,full features
0.032152077,0.305099395,train,full features
0.032152077,0.305531547,train,full features
0.032386764,0.305531547,train,full features
0.032386764,0.313742437,train,full features
0.03262145,0.313742437,train,full features
0.03262145,0.314606742,train,full features
0.033090824,0.314606742,train,full features
0.033090824,0.318496111,train,full features
0.03332551,0.318496111,train,full features
0.03332551,0.319360415,train,full features
0.033560197,0.319360415,train,full features
0.033560197,0.321953328,train,full features
0.033794884,0.321953328,train,full features
0.033794884,0.324978392,train,full features
